Unnamed: 0,MODE,sv,sw,gc_dist,r_dist,temp_cntl,export,hazmat,wgt_factor,sctg,naics,orig_state,orig_state_full,states_code_o,orig_ma,dest_state,dest_state_full,states_code_d,dest_ma,sctg_n
5312,1,1849,1043,305,354,0,0,0,23.0,37,336,17,Illinois,IL,476,21,Kentucky,KY,178,8
5313,1,7267,51,2248,2833,0,0,0,86.4,37,336,37,North Carolina,NC,172,53,Washington,WA,500,8
5314,1,79924,6890,691,763,0,0,0,81.8,37,336,39,Ohio,OH,212,40,Oklahoma,OK,538,8
5315,3,7231,42,667,799,0,0,0,124.8,37,333,49,Utah,UT,482,53,Washington,WA,500,8
5316,3,62,1,87,116,0,0,0,1515.9,37,336,55,Wisconsin,WI,376,17,Illinois,IL,99999,8
5317,1,1973,23,1002,1256,0,0,0,625.6,37,332,20,Kansas,KS,556,13,Georgia,GA,496,8
5318,5,35528,71055,720,948,0,0,0,35.2,37,332,20,Kansas,KS,312,22,Louisiana,LA,406,8
5319,1,9509,1,368,428,0,0,0,657.2,37,334,21,Kentucky,KY,350,1,Alabama,AL,99999,8
5320,4,1434,1,13,151,0,1,0,722.0,37,4238,53,Washington,WA,500,53,Washington,WA,500,8
5321,2,55898,21,2,2,0,0,0,183.9,37,336,6,California,CA,348,6,California,CA,348,8
5322,3,1551,21,353,455,0,0,0,301.5,37,336,54,West Virginia,WV,99999,13,Georgia,GA,122,8
5323,3,961,5,507,733,0,0,0,835.0,37,332,18,Indiana,IN,99999,37,North Carolina,NC,268,8
5324,3,15928,23,248,268,0,0,0,72.4,37,333,12,Florida,FL,422,12,Florida,FL,370,8
5325,1,1373,5,115,138,0,0,0,8.9,37,336,20,Kansas,KS,312,20,Kansas,KS,99999,8
5326,3,2827,10,145,188,0,0,0,78.7,37,334,42,Pennsylvania,PA,428,36,New York,NY,99999,8
5327,1,451,62,849,1016,0,0,0,39.2,37,334,13,Georgia,GA,496,48,Texas,TX,288,8
5328,4,844,6,61,403,0,1,0,1026.7,37,336,17,Illinois,IL,99999,17,Illinois,IL,176,8
5329,1,2177,1299,391,494,0,0,0,331.7,37,332,39,Ohio,OH,184,21,Kentucky,KY,99999,8
5330,3,486,2,1600,1804,0,0,0,8.8,37,336,47,Tennessee,TN,368,6,California,CA,348,8
5331,1,641,1242,1652,2027,0,1,0,69.1,37,332,36,New York,NY,464,48,Texas,TX,99999,8
5332,3,56,41,2222,2559,0,0,0,389.2,37,332,6,California,CA,348,12,Florida,FL,99999,8
5333,1,111938,26606,1587,2052,0,1,0,95.0,37,336,22,Louisiana,LA,99999,30,Montana,MT,99999,8
5334,3,1132,47,3464,3523,0,0,0,4288.6,37,4238,13,Georgia,GA,122,2,Alaska,AK,99999,8
5335,4,410,1,675,702,0,0,0,723.5,37,4238,53,Washington,WA,500,6,California,CA,488,8
5336,1,67236,470,2,2,0,0,0,155.0,37,332,6,California,CA,348,6,California,CA,348,8
5337,2,1374,4,4,5,0,0,0,451.1,37,332,36,New York,NY,408,36,New York,NY,408,8
5338,3,72,1,858,901,0,0,0,22.1,37,336,53,Washington,WA,440,4,Arizona,AZ,99999,8
5339,3,1753,8,191,211,0,0,0,270.9,37,4238,48,Texas,TX,12420,48,Texas,TX,206,8
5340,2,107,11,6,6,0,0,0,887.9,37,332,9,Connecticut,CT,408,9,Connecticut,CT,408,8
5341,1,19694,186,2307,2764,0,0,0,469.8,37,332,6,California,CA,348,12,Florida,FL,370,8
5342,3,4777,22,1119,1320,0,0,0,359.7,37,336,12,Florida,FL,99999,36,New York,NY,408,8
5343,3,215,1,1172,1490,0,0,0,356.6,37,4238,6,California,CA,348,20,Kansas,KS,556,8
5344,1,16270,1364,2405,2809,0,0,0,62.5,37,336,6,California,CA,488,51,Virginia,VA,47900,8
5345,4,2341,9,163,232,0,0,0,323.2,37,332,20,Kansas,KS,556,20,Kansas,KS,312,8
5346,1,1831,55,250,296,0,0,0,100.5,37,551114,42,Pennsylvania,PA,430,42,Pennsylvania,PA,428,8
5347,1,3336,405,1141,1315,0,0,0,1055.1,37,336,42,Pennsylvania,PA,99999,12,Florida,FL,370,8
5348,3,870,3,838,998,0,0,0,371.8,37,332,9,Connecticut,CT,25540,13,Georgia,GA,122,8
5349,3,4149,47,274,294,0,0,0,140.5,37,332,12,Florida,FL,300,12,Florida,FL,370,8
5350,1,700,5,454,522,0,0,0,255.5,37,336,31,Nebraska,NE,99999,17,Illinois,IL,99999,8
5351,4,114187,53,1207,1240,0,0,0,398.8,37,334,6,California,CA,348,20,Kansas,KS,556,8
5352,1,994496,1599,3,3,0,0,0,62.6,37,336,6,California,CA,488,6,California,CA,488,8
5353,4,32327,4,786,834,0,0,0,107.2,37,336,36,New York,NY,408,13,Georgia,GA,122,8
5354,2,6435,134,28,31,0,0,0,1174.9,37,4238,6,California,CA,348,6,California,CA,348,8
5355,3,279,1,1555,1807,0,0,0,171.0,37,336,29,Missouri,MO,476,6,California,CA,348,8
5356,4,5912,30,1375,1400,0,0,0,34.0,37,4238,50,Vermont,VT,99999,12,Florida,FL,370,8
5357,3,13222,3,112,327,0,1,0,16.7,37,332,9,Connecticut,CT,99999,34,New Jersey,NJ,408,8
5358,3,4517,33,139,187,0,1,0,258.3,37,332,33,New Hampshire,NH,148,36,New York,NY,99999,8
5359,2,3483,44,63,70,0,0,0,480.9,37,332,6,California,CA,348,6,California,CA,348,8
5360,1,3757,8803,6,10,0,0,0,3011.1,37,4231,26,Michigan,MI,266,26,Michigan,MI,266,8
5361,3,151,1,2371,2790,0,0,0,40.1,37,4238,12,Florida,FL,370,6,California,CA,348,8
5362,4,2588,8,915,928,0,0,0,1553.3,37,336,48,Texas,TX,206,13,Georgia,GA,496,8
5363,3,3465,5,843,1040,0,1,0,55.9,37,336,8,Colorado,CO,216,6,California,CA,348,8
5364,2,11429,29744,100,105,0,0,0,31.5,37,4238,42,Pennsylvania,PA,99999,39,Ohio,OH,184,8
5365,1,760,9,1434,1850,0,0,0,618.8,37,332,20,Kansas,KS,556,53,Washington,WA,500,8
5366,4,12514,903,253,1020,0,1,0,865.1,37,336,36,New York,NY,99999,36,New York,NY,408,8
5367,3,330,1,553,677,0,0,0,1483.5,37,332,13,Georgia,GA,99999,54,West Virginia,WV,99999,8
5368,3,1862,74,39,47,0,0,0,181.0,37,336,9,Connecticut,CT,25540,9,Connecticut,CT,408,8
5369,1,124713,759,134,153,0,0,0,67.8,37,332,36,New York,NY,408,34,New Jersey,NJ,428,8
5370,2,2008,12,141,174,0,0,0,428.3,37,332,53,Washington,WA,500,41,Oregon,OR,440,8
5371,3,45293,24,88,113,0,0,0,170.5,37,4236,27,Minnesota,MN,378,27,Minnesota,MN,99999,8
5372,3,3522,108,1041,1230,0,0,0,25.3,37,336,12,Florida,FL,45300,36,New York,NY,408,8
5373,3,3917,4,74,80,0,0,0,1169.4,37,4238,6,California,CA,348,6,California,CA,348,8
